# Franco-Arabic explicit terms — GENERATED, do not edit by hand.
#
#   python3 gen_terms_ar.py
#
# Latin spellings expanded from the curated Arabic vocabulary in
# gen_terms_ar.py. Read after terms.ar-latn.tsv, which wins on weight.

3aara	8.0
3aarat	8.0
3aarh	8.0
3aart	8.0
3ahra	8.0
3ahra 3iraqi	8.0
3ahra arab	8.0
3ahra arabi	8.0
3ahra hd	8.0
3ahra jadid	8.0
3ahra khaliji	8.0
3ahra lebnani	8.0
3ahra maghribi	8.0
3ahra mahareem	8.0
3ahra masri	8.0
3ahra masry	8.0
3ahra mojani	8.0
3ahra motarjam	8.0
3ahra saudi	8.0
3ahra souri	8.0
3ahrat	8.0
3ahrh	8.0
3ahrt	8.0
3ara	8.0
3arat	8.0
3are	6.0
3area	6.0
3areat	8.0
3areh	6.0
3aret	8.0
3arh	8.0
3ari	6.0
3aria	6.0
3ariat	8.0
3arih	6.0
3arit	8.0
3art	8.0
3ary	6.0
3arya	6.0
3aryat	8.0
3aryh	6.0
3aryt	8.0
3ere	6.0
3eri	6.0
3ery	6.0
3hra	8.0
3hrat	8.0
3hrh	8.0
3hrt	8.0
3ire	6.0
3iri	6.0
3iry	6.0
3rea	6.0
3rean	6.0
3reana	6.0
3reanat	8.0
3reanh	6.0
3reant	8.0
3reat	8.0
3reh	6.0
3ren	6.0
3rena	6.0
3renat	8.0
3renh	6.0
3rent	8.0
3ret	8.0
3ria	6.0
3rian	6.0
3riana	6.0
3rianat	8.0
3rianh	6.0
3riant	8.0
3riat	8.0
3rih	6.0
3rin	6.0
3rina	6.0
3rinat	8.0
3rinh	6.0
3rint	8.0
3rit	8.0
3rya	6.0
3ryan	6.0
3ryana	6.0
3ryanat	8.0
3ryanh	6.0
3ryant	8.0
3ryat	8.0
3ryh	6.0
3ryn	6.0
3ryna	6.0
3rynat	8.0
3rynh	6.0
3rynt	8.0
3ryt	8.0
3yre	6.0
3yri	6.0
3yry	6.0
5l3a	8.0
5l3e	8.0
5l3h	8.0
